### Module positions - created on 2026-01-22 19:35
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
C19           10uF                C_0603                        105.0200   -51.5250   104.2700   -51.5250      0.0    top       SMD
C18           22uF                C_0603                        105.0200   -49.0050   104.2700   -49.0050      0.0    top       SMD
C17           100nf               C_0603                        105.0200   -46.4850   104.2700   -46.4850      0.0    top       SMD
C16           100nf               C_0603                        101.3700   -64.1250   100.6200   -64.1250      0.0    top       SMD
C15           22uF                C_0603                        101.3700   -61.6050   100.6200   -61.6050      0.0    top       SMD
C14           100nf               C_0603                        101.3700   -59.0850   100.6200   -59.0850      0.0    top       SMD
C13           100nf               C_0603                        101.3700   -56.5650   100.6200   -56.5650      0.0    top       SMD
C12           100nf               C_0603                        101.3700   -54.0450   100.6200   -54.0450      0.0    top       SMD
C11           22pF                C_0603                        101.3700   -51.5250   100.6200   -51.5250      0.0    top       SMD
C10           22pF                C_0603                        101.3700   -49.0050   100.6200   -49.0050      0.0    top       SMD
C9            22uF                C_0603                        101.3700   -46.4850   100.6200   -46.4850      0.0    top       SMD
C8            100nF               C_0603                        97.7200    -64.1250   96.9700    -64.1250      0.0    top       SMD
C7            2.2uF               C_0603                        97.7200    -61.6050   96.9700    -61.6050      0.0    top       SMD
C6            2.2uF               C_0603                        97.7200    -59.0850   96.9700    -59.0850      0.0    top       SMD
C5            22uF                C_0603                        97.7200    -56.5650   96.9700    -56.5650      0.0    top       SMD
C4            100nf               C_0603                        97.7200    -54.0450   96.9700    -54.0450      0.0    top       SMD
C3            100nf               C_0603                        97.7200    -51.5250   96.9700    -51.5250      0.0    top       SMD
C2            100nf               C_0603                        97.7200    -49.0050   96.9700    -49.0050      0.0    top       SMD
C1            100nf               C_0603                        97.7200    -46.4850   96.9700    -46.4850      0.0    top       SMD
BZ1           Buzzer              Buzzer_CUI_CPT-9019S-SMT      119.9200   -89.7800   115.9200   -89.7800      0.0    top       SMD
## End
## 404 SMD pads
## 2 TH pads
## 4 Virtual pads
## 1 Top TH modules
## 0 Bot TH modules
## 97 Top SMD modules
## 0 Bot SMD modules
## 4 Top Virtual modules
## 0 Bot Virtual modules
